dataset,it,size,implementation,ari,ri,jaccard,peakmem
fullsample,1,990830,R,1.0,1.0,1.0,
fullsample,1,990830,jl,0.8038673449575237,0.9678588000119048,0.9870839542970691,
fullsample,1,990830,jl32,0.5501867373734852,0.9395307881189024,0.9870839542970691,
fullsample,1,990830,py,0.6645573440650127,0.9401111414140976,1.0,
subsample_it_1_size_100000,1,99064,R,1.0,1.0,1.0,0.0
subsample_it_1_size_100000,1,99064,jl,0.8480796348552977,0.9757128764340656,0.9890601690701144,9.596820831298828
subsample_it_1_size_100000,1,99064,jl32,0.7859509758154154,0.9650389087606644,0.9890601690701144,9.585391998291016
subsample_it_1_size_100000,1,99064,py,0.6698887899511217,0.9411027583402781,1.0,11.21945571899414
subsample_it_1_size_12000,1,11891,R,1.0,1.0,1.0,
subsample_it_1_size_12000,1,11891,jl,0.7772144509540436,0.9563051375194603,0.9870839542970691,2.3333168029785156
subsample_it_1_size_12000,1,11891,jl32,0.8632132086096831,0.9718754294598703,0.9870839542970691,4.390529632568359
subsample_it_1_size_12000,1,11891,py,0.5725251412121216,0.914020010327902,1.0,2.354656219482422
subsample_it_1_size_125000,1,123857,R,1.0,1.0,1.0,
subsample_it_1_size_125000,1,123857,jl,0.8316291754401586,0.9736400206725018,0.9900497512437811,12.257678985595703
subsample_it_1_size_125000,1,123857,jl32,0.8392046642400223,0.9750967438689293,0.9900497512437811,11.700916290283203
subsample_it_1_size_125000,1,123857,py,0.5531708829320978,0.9167350032445551,1.0,13.868953704833984
subsample_it_1_size_25000,1,24769,R,1.0,1.0,1.0,8.212268829345703
subsample_it_1_size_25000,1,24769,jl,0.8206751427541915,0.966881817450608,0.9890601690701144,3.9187889099121094
subsample_it_1_size_25000,1,24769,jl32,0.8500606032911547,0.9725048987528484,0.9890601690701144,3.426532745361328
subsample_it_1_size_25000,1,24769,py,0.5934424187986596,0.9119698996766297,1.0,3.2407760620117188
subsample_it_1_size_250000,1,247736,R,1.0,1.0,1.0,66.89070510864258
subsample_it_1_size_250000,1,247736,jl,0.7011723039043939,0.9480554468363406,0.9930244145490782,22.060115814208984
