dataset,it,size,implementation,step,time,mem,clusters
1M_gz,1,990830,R,CreateSeuratObject,744.617300854,7.4263560192e10,32
1M_gz,1,990830,R,NormalizeData,292.437607379,1.23631955968e11,32
1M_gz,1,990830,R,FindVariableFeatures,1031.917370693,1.23632664576e11,32
1M_gz,1,990830,R,ScaleData,282.179380456,1.42618882048e11,32
1M_gz,1,990830,R,RunPCA,2183.575303691,1.54996686848e11,32
1M_gz,1,990830,R,FindNeighbors,980.13633343,1.54996699136e11,32
1M_gz,1,990830,R,FindClusters,7120.629840225,1.82485487616e11,32
1M_gz,1,990830,R,RunUMAP,3616.549194464,1.82485487616e11,32
1M_gz,1,990830,R,FindAllMarkers,346073.391180538,3.13300258816e11,32
1M_gz,1,990830,jl,CreateSeuratObject,56.882385973,2.510966784e10,33
1M_gz,1,990830,jl,NormalizeData,64.263278564,4.9601916928e10,33
1M_gz,1,990830,jl,FindVariableFeatures,29.229417731,4.9541464064e10,33
1M_gz,1,990830,jl,ScaleData,8.107362293,8.218107904e10,33
1M_gz,1,990830,jl,RunPCA,1207.788788854,8.7363371008e10,33
1M_gz,1,990830,jl,FindNeighbors,77.581809711,6.1601083392e10,33
1M_gz,1,990830,jl,FindClusters,1522.276119461,8.1197359104e10,33
1M_gz,1,990830,jl,RunUMAP,1971.26082951,7.2378253312e10,33
1M_gz,1,990830,jl,FindAllMarkers,2492.153570514,7.34676992e10,33
1M_gz,1,990830,py,CreateSeuratObject,72.814417233,1.7106747392e10,20
1M_gz,1,990830,py,NormalizeData,49.804885131,2.5304354816e10,20
1M_gz,1,990830,py,FindVariableFeatures,404.479045927,2.5283776512e10,20
1M_gz,1,990830,py,ScaleData,28.597887593,2.5304416256e10,20
1M_gz,1,990830,py,RunPCA,231.527184605,3.3231409152e10,20
1M_gz,1,990830,py,FindNeighbors,196.969652119,4.3030421504e10,20
1M_gz,1,990830,py,FindClusters,1766.829031861,5.0951827456e10,20
1M_gz,1,990830,py,RunUMAP,2379.595194831,5.0949357568e10,20
1M_gz,1,990830,py,FindAllMarkers,30214.499130848,5.3898235904e10,20
210129_raw_BALPBMC,1,523041,R,CreateSeuratObject,125.541193036,2.4498143232e10,36
210129_raw_BALPBMC,1,523041,R,NormalizeData,43.852674984,4.0508706816e10,36
210129_raw_BALPBMC,1,523041,R,FindVariableFeatures,148.291676042,4.0547278848e10,36
