dataset,size,implementation,dims,k,resolution,tables,time,purity,classpurity,clusters,ari,ri,avgsilh,seed
3k,2700,scanpy,10,10,0.05,20,28.327842743,,,3,,,0.3285073288337395,0
3k,2700,scanpy,10,10,0.08,20,0.7357893,,,4,,,0.3643797057630489,0
3k,2700,scanpy,10,10,0.1,20,0.818290392,,,4,,,0.3643797057630489,0
3k,2700,scanpy,10,10,0.1,20,28.839933451,,,1,,,0.35983260810384116,1
3k,2700,scanpy,10,10,0.1,20,0.894645881,,,1,,,0.38776557375006226,2
3k,2700,scanpy,10,10,0.1,20,0.837250888,,,1,,,0.3652569713607327,3
3k,2700,scanpy,10,10,0.1,20,0.744703213,,,1,,,0.3489705662754061,4
3k,2700,scanpy,10,10,0.2,20,0.861602387,,,5,,,0.3822962763446367,0
3k,2700,scanpy,10,10,0.2,20,0.776145118,,,1,,,0.3948525138382482,1
3k,2700,scanpy,10,10,0.2,20,0.861600866,,,1,,,0.3954729330732138,2
3k,2700,scanpy,10,10,0.2,20,0.818666927,,,1,,,0.3654711269192026,3
3k,2700,scanpy,10,10,0.2,20,0.742773185,,,1,,,0.3840672879238626,4
3k,2700,scanpy,10,10,0.3,20,0.767979711,,,8,,,0.35095178627454005,0
3k,2700,scanpy,10,10,0.3,20,0.769309812,,,1,,,0.33947677846873525,1
3k,2700,scanpy,10,10,0.3,20,0.84888775,,,1,,,0.33811181995221323,2
3k,2700,scanpy,10,10,0.3,20,0.786104031,,,1,,,0.3062869298895035,3
3k,2700,scanpy,10,10,0.3,20,0.730209221,,,1,,,0.34260709557733754,4
3k,2700,scanpy,10,10,0.4,20,0.812845737,,,1,,,0.27634316382982643,1
3k,2700,scanpy,10,10,0.4,20,0.779553564,,,1,,,0.21571392404630566,2
3k,2700,scanpy,10,10,0.4,20,0.788044454,,,1,,,0.26978255660888506,3
3k,2700,scanpy,10,10,0.4,20,0.841034257,,,1,,,0.26471841651556316,4
3k,2700,scanpy,10,10,0.5,20,0.733345089,,,9,,,0.2659099134698216,0
3k,2700,scanpy,10,10,0.5,20,0.836367161,,,1,,,0.2639777688018678,1
3k,2700,scanpy,10,10,0.5,20,0.792132584,,,1,,,0.25772421804226725,2
3k,2700,scanpy,10,10,0.5,20,0.820220681,,,1,,,0.25211127902197206,3
3k,2700,scanpy,10,10,0.5,20,0.727463168,,,1,,,0.2696780881904259,4
3k,2700,scanpy,10,10,0.6,20,0.750422313,,,1,,,0.24536376703495205,1
3k,2700,scanpy,10,10,0.6,20,0.779355828,,,1,,,0.22890243302046293,2
3k,2700,scanpy,10,10,0.6,20,0.776448496,,,1,,,0.24240828279841395,3
